"","sens","modo","pol","classe","data","sigma0"
"56","R2","S1","HH","agua",2011-07-06,0.26
"57","R2","S1","HH","agua",2011-07-06,0.08
"58","R2","S1","HH","agua",2011-07-06,0.17
"59","R2","S1","HH","agua",2011-07-06,0.11
"60","R2","S1","HH","agua",2011-07-06,0.1
"61","R2","S1","HH","agua",2011-07-06,0.15
"62","R2","S1","HH","agua",2011-07-06,0.17
"63","R2","S1","HH","agua",2011-07-06,0.13
"64","R2","S1","HH","agua",2011-07-06,0.06
"65","R2","S1","HH","agua",2011-07-06,0.03
"66","R2","S1","HH","agua",2011-07-06,0.04
"67","R2","S1","HH","agua",2011-07-06,0.23
"68","R2","S1","HH","agua",2011-07-06,0.06
"69","R2","S1","HH","agua",2011-07-06,0.18
"70","R2","S1","HH","agua",2011-07-06,0.11
"71","R2","S1","HH","agua",2011-07-06,0.11
"72","R2","S1","HH","agua",2011-07-06,0.2
"73","R2","S1","HH","agua",2011-07-06,0.09
"74","R2","S1","HH","agua",2011-07-06,0.03
"75","R2","S1","HH","agua",2011-07-06,0.19
"76","R2","S1","HH","agua",2011-07-06,0.06
"77","R2","S1","HH","agua",2011-07-06,0.03
"78","R2","S1","HH","agua",2011-07-06,0.13
"79","R2","S1","HH","agua",2011-07-06,0.07
"80","R2","S1","HH","agua",2011-07-06,0.12
"81","R2","S1","HH","agua",2011-07-06,0.23
"82","R2","S1","HH","agua",2011-07-06,0.05
"83","R2","S1","HH","agua",2011-07-06,0.15
"84","R2","S1","HH","agua",2011-07-06,0.03
"85","R2","S1","HH","agua",2011-07-06,0.17
"86","R2","S1","HH","agua",2011-07-06,0.06
"87","R2","S1","HH","agua",2011-07-06,0.03
"88","R2","S1","HH","agua",2011-07-06,0.12
"89","R2","S1","HH","agua",2011-07-06,0.29
"90","R2","S1","HH","agua",2011-07-06,0.14
"91","R2","S1","HH","agua",2011-07-06,0.07
"92","R2","S1","HH","agua",2011-07-06,0.08
"93","R2","S1","HH","agua",2011-07-06,0.48
"94","R2","S1","HH","agua",2011-07-06,0.31
"95","R2","S1","HH","agua",2011-07-06,0.22
"96","R2","S1","HH","agua",2011-07-06,0.14
"97","R2","S1","HH","agua",2011-07-06,0.13
"98","R2","S1","HH","agua",2011-07-06,0.07
"99","R2","S1","HH","agua",2011-07-06,0.21
"100","R2","S1","HH","agua",2011-07-06,0.09
"101","R2","S1","HH","agua",2011-11-03,0.04
"102","R2","S1","HH","agua",2011-11-03,0.08
"103","R2","S1","HH","agua",2011-11-03,0.06
"104","R2","S1","HH","agua",2011-11-03,0.05
"105","R2","S1","HH","agua",2011-11-03,0.12
"106","R2","S1","HH","agua",2011-11-03,0.05
"107","R2","S1","HH","agua",2011-11-03,0.02
"108","R2","S1","HH","agua",2011-11-03,0.05
"109","R2","S1","HH","agua",2011-11-03,0.02
"110","R2","S1","HH","agua",2011-11-03,0.02
"111","R2","S1","HH","agua",2011-11-03,0.09
"112","R2","S1","HH","agua",2011-11-03,0.05
"113","R2","S1","HH","agua",2011-11-03,0.02
"114","R2","S1","HH","agua",2011-11-03,0.03
"115","R2","S1","HH","agua",2011-11-03,0.07
"116","R2","S1","HH","agua",2011-11-03,0.03
"117","R2","S1","HH","agua",2011-11-03,0.03
"118","R2","S1","HH","agua",2011-11-03,0.04
"119","R2","S1","HH","agua",2011-11-03,0.02
"120","R2","S1","HH","agua",2011-11-03,0.02
"121","R2","S1","HH","agua",2011-11-03,0.01
"122","R2","S1","HH","agua",2011-11-03,0.1
"123","R2","S1","HH","agua",2011-11-03,0.08
"124","R2","S1","HH","agua",2011-11-03,0.08
"125","R2","S1","HH","agua",2011-11-03,0.02
"126","R2","S1","HH","agua",2011-11-03,0.05
"127","R2","S1","HH","agua",2011-11-03,0.08
"128","R2","S1","HH","agua",2011-11-03,0.03
"129","R2","S1","HH","agua",2011-11-03,0.03
"130","R2","S1","HH","agua",2011-11-03,0.01
"131","R2","S1","HH","agua",2011-11-03,0.12
"132","R2","S1","HH","agua",2011-11-03,0.09
"133","R2","S1","HH","agua",2011-11-03,0.02
"134","R2","S1","HH","agua",2011-11-03,0.05
"135","R2","S1","HH","agua",2011-11-03,0.01
"136","R2","S1","HH","agua",2011-11-03,0.03
"137","R2","S1","HH","agua",2011-11-03,0.04
"138","R2","S1","HH","agua",2011-11-03,0.02
"139","R2","S1","HH","agua",2011-11-03,0.05
"140","R2","S1","HH","agua",2011-11-03,0.03
"141","R2","S1","HH","agua",2011-11-03,0.05
"142","R2","S1","HH","agua",2011-11-03,0.06
"143","R2","S1","HH","agua",2011-11-03,0.05
"144","R2","S1","HH","agua",2011-11-03,0.01
"145","R2","S1","HH","agua",2011-11-03,0.02
"146","R2","S1","HH","agua",2011-11-03,0.05
"147","R2","S1","HH","agua",2011-11-03,0.03
"148","R2","S1","HH","agua",2011-11-03,0.03
"149","R2","S1","HH","agua",2011-11-03,0.12
"150","R2","S1","HH","agua",2011-11-03,0.02
"151","R2","S1","HH","agua",2011-11-03,0.04
"152","R2","S1","HH","agua",2011-11-03,0.12
"153","R2","S1","HH","agua",2011-11-03,0.13
"154","R2","S1","HH","agua",2011-11-03,0.01
"155","R2","S1","HH","agua",2011-11-03,0.14
"156","R2","S1","HH","agua",2011-11-03,0.04
"157","R2","S1","HH","agua",2011-11-03,0.09
"158","R2","S1","HH","agua",2011-11-03,0
"159","R2","S1","HH","agua",2011-11-03,0.03
"160","R2","S1","HH","agua",2011-11-03,0.02
"161","R2","S1","HH","agua",2011-11-03,0.06
"162","R2","S1","HH","agua",2011-11-03,0.02
"163","R2","S1","HH","agua",2011-11-03,0.04
"164","R2","S1","HH","agua",2011-11-03,0.04
"165","R2","S1","HH","agua",2011-11-03,0.04
"166","R2","S1","HH","agua",2011-11-03,0.01
"167","R2","S1","HH","agua",2011-11-03,0.09
"168","R2","S1","HH","agua",2011-11-03,0.07
"169","R2","S1","HH","agua",2011-11-03,0.06
"170","R2","S1","HH","agua",2011-11-03,0.05
"171","R2","S1","HH","agua",2011-11-03,0.01
"172","R2","S1","HH","agua",2011-11-03,0.02
"173","R2","S1","HH","agua",2011-11-03,0.03
"174","R2","S1","HH","agua",2011-11-03,0.15
"175","R2","S1","HH","agua",2011-11-03,0.01
"176","R2","S1","HH","agua",2011-11-03,0.04
"177","R2","S1","HH","agua",2011-11-03,0.04
"178","R2","S1","HH","agua",2011-11-03,0.03
"179","R2","S1","HH","agua",2011-11-03,0.1
"180","R2","S1","HH","agua",2011-11-03,0.04
"181","R2","S1","HH","agua",2011-11-03,0.02
"182","R2","S1","HH","agua",2011-11-03,0.03
"183","R2","S1","HH","agua",2011-11-03,0.1
"184","R2","S1","HH","agua",2011-11-03,0.01
"185","R2","S1","HH","agua",2011-11-03,0.04
"186","R2","S1","HH","agua",2011-11-03,0.07
"187","R2","S1","HH","agua",2011-11-03,0.12
"188","R2","S1","HH","agua",2011-11-03,0.05
"189","R2","S1","HH","agua",2011-11-03,0.09
"190","R2","S1","HH","agua",2011-11-03,0
"191","R2","S1","HH","agua",2011-11-03,0.06
"192","R2","S1","HH","agua",2011-11-03,0.05
"193","R2","S1","HH","agua",2011-11-03,0.08
"194","R2","S1","HH","agua",2011-11-03,0.02
"195","R2","S1","HH","agua",2011-11-03,0.01
"196","R2","S1","HH","agua",2011-11-03,0.01
"197","R2","S1","HH","agua",2011-11-03,0.04
"198","R2","S1","HH","agua",2011-11-03,0.02
"199","R2","S1","HH","agua",2011-11-03,0.06
"200","R2","S1","HH","agua",2011-11-03,0.21
"201","R2","S1","HH","floresta_inundavel",2011-07-06,0.38
"202","R2","S1","HH","floresta_inundavel",2011-07-06,0.56
"203","R2","S1","HH","floresta_inundavel",2011-07-06,0.23
"204","R2","S1","HH","floresta_inundavel",2011-07-06,0.77
"205","R2","S1","HH","floresta_inundavel",2011-07-06,0.24
"206","R2","S1","HH","floresta_inundavel",2011-07-06,0.38
"207","R2","S1","HH","floresta_inundavel",2011-07-06,0.55
"208","R2","S1","HH","floresta_inundavel",2011-07-06,0.2
"209","R2","S1","HH","floresta_inundavel",2011-07-06,0.3
"210","R2","S1","HH","floresta_inundavel",2011-07-06,0.52
"211","R2","S1","HH","floresta_inundavel",2011-07-06,0.24
"212","R2","S1","HH","floresta_inundavel",2011-07-06,0.55
"213","R2","S1","HH","floresta_inundavel",2011-07-06,0.23
"214","R2","S1","HH","floresta_inundavel",2011-07-06,0.27
"215","R2","S1","HH","floresta_inundavel",2011-07-06,0.13
"216","R2","S1","HH","floresta_inundavel",2011-07-06,0.25
"217","R2","S1","HH","floresta_inundavel",2011-07-06,0.2
"218","R2","S1","HH","floresta_inundavel",2011-07-06,0.29
"219","R2","S1","HH","floresta_inundavel",2011-07-06,0.47
"220","R2","S1","HH","floresta_inundavel",2011-07-06,0.08
"221","R2","S1","HH","floresta_inundavel",2011-07-06,0.51
"222","R2","S1","HH","floresta_inundavel",2011-07-06,0.23
"223","R2","S1","HH","floresta_inundavel",2011-07-06,0.2
"224","R2","S1","HH","floresta_inundavel",2011-07-06,0.25
"225","R2","S1","HH","floresta_inundavel",2011-07-06,0.42
"226","R2","S1","HH","floresta_inundavel",2011-07-06,0.23
"227","R2","S1","HH","floresta_inundavel",2011-07-06,0.35
"228","R2","S1","HH","floresta_inundavel",2011-07-06,0.29
"229","R2","S1","HH","floresta_inundavel",2011-07-06,0.41
"230","R2","S1","HH","floresta_inundavel",2011-07-06,0.24
"231","R2","S1","HH","floresta_inundavel",2011-07-06,0.4
"232","R2","S1","HH","floresta_inundavel",2011-07-06,0.27
"233","R2","S1","HH","floresta_inundavel",2011-07-06,0.52
"234","R2","S1","HH","floresta_inundavel",2011-07-06,0.11
"235","R2","S1","HH","floresta_inundavel",2011-07-06,0.32
"236","R2","S1","HH","floresta_inundavel",2011-07-06,0.35
"237","R2","S1","HH","floresta_inundavel",2011-07-06,0.24
"238","R2","S1","HH","floresta_inundavel",2011-07-06,0.15
"239","R2","S1","HH","floresta_inundavel",2011-07-06,0.21
"240","R2","S1","HH","floresta_inundavel",2011-07-06,0.22
"241","R2","S1","HH","floresta_inundavel",2011-07-06,0.3
"242","R2","S1","HH","floresta_inundavel",2011-07-06,0.24
"243","R2","S1","HH","floresta_inundavel",2011-07-06,1.08
"244","R2","S1","HH","floresta_inundavel",2011-07-06,0.64
"245","R2","S1","HH","floresta_inundavel",2011-07-06,0.11
"246","R2","S1","HH","floresta_inundavel",2011-07-06,0.69
"247","R2","S1","HH","floresta_inundavel",2011-07-06,0.25
"248","R2","S1","HH","floresta_inundavel",2011-07-06,0.54
"249","R2","S1","HH","floresta_inundavel",2011-07-06,0.64
"250","R2","S1","HH","floresta_inundavel",2011-07-06,0.55
"251","R2","S1","HH","floresta_inundavel",2011-07-06,0.15
"252","R2","S1","HH","floresta_inundavel",2011-07-06,0.29
"253","R2","S1","HH","floresta_inundavel",2011-07-06,0.38
"254","R2","S1","HH","floresta_inundavel",2011-07-06,0.46
"255","R2","S1","HH","floresta_inundavel",2011-07-06,0.26
"256","R2","S1","HH","floresta_inundavel",2011-07-06,0.44
"257","R2","S1","HH","floresta_inundavel",2011-07-06,0.32
"258","R2","S1","HH","floresta_inundavel",2011-07-06,0.54
"259","R2","S1","HH","floresta_inundavel",2011-07-06,0.39
"260","R2","S1","HH","floresta_inundavel",2011-07-06,0.05
"261","R2","S1","HH","floresta_inundavel",2011-07-06,0.25
"262","R2","S1","HH","floresta_inundavel",2011-07-06,0.45
"263","R2","S1","HH","floresta_inundavel",2011-07-06,0.97
"264","R2","S1","HH","floresta_inundavel",2011-07-06,0.39
"265","R2","S1","HH","floresta_inundavel",2011-07-06,0.21
"266","R2","S1","HH","floresta_inundavel",2011-07-06,0.51
"267","R2","S1","HH","floresta_inundavel",2011-07-06,0.14
"268","R2","S1","HH","floresta_inundavel",2011-07-06,0.07
"269","R2","S1","HH","floresta_inundavel",2011-07-06,0.42
"270","R2","S1","HH","floresta_inundavel",2011-07-06,0.42
"271","R2","S1","HH","floresta_inundavel",2011-07-06,0.33
"272","R2","S1","HH","floresta_inundavel",2011-07-06,0.36
"273","R2","S1","HH","floresta_inundavel",2011-07-06,0.4
"274","R2","S1","HH","floresta_inundavel",2011-07-06,0.3
"275","R2","S1","HH","floresta_inundavel",2011-07-06,0.33
"276","R2","S1","HH","floresta_inundavel",2011-07-06,0.24
"277","R2","S1","HH","floresta_inundavel",2011-07-06,0.45
"278","R2","S1","HH","floresta_inundavel",2011-07-06,0.76
"279","R2","S1","HH","floresta_inundavel",2011-07-06,0.23
"280","R2","S1","HH","floresta_inundavel",2011-07-06,0.74
"281","R2","S1","HH","floresta_inundavel",2011-07-06,0.3
"282","R2","S1","HH","floresta_inundavel",2011-07-06,0.48
"283","R2","S1","HH","floresta_inundavel",2011-07-06,0.16
"284","R2","S1","HH","floresta_inundavel",2011-07-06,0.1
"285","R2","S1","HH","floresta_inundavel",2011-07-06,0.21
"286","R2","S1","HH","floresta_inundavel",2011-07-06,0.39
"287","R2","S1","HH","floresta_inundavel",2011-07-06,0.3
"288","R2","S1","HH","floresta_inundavel",2011-07-06,0.22
"289","R2","S1","HH","floresta_inundavel",2011-07-06,0.54
"290","R2","S1","HH","floresta_inundavel",2011-07-06,0.5
"291","R2","S1","HH","floresta_inundavel",2011-07-06,0.3
"292","R2","S1","HH","floresta_inundavel",2011-07-06,1.22
"293","R2","S1","HH","floresta_inundavel",2011-07-06,0.55
"294","R2","S1","HH","floresta_inundavel",2011-07-06,0.83
"295","R2","S1","HH","floresta_inundavel",2011-07-06,0.46
"296","R2","S1","HH","floresta_inundavel",2011-07-06,0.17
"297","R2","S1","HH","floresta_inundavel",2011-07-06,0.18
"298","R2","S1","HH","floresta_inundavel",2011-07-06,0.15
"299","R2","S1","HH","floresta_inundavel",2011-07-06,0.56
"300","R2","S1","HH","floresta_inundavel",2011-07-06,0.84
"301","R2","S1","HH","floresta_inundavel",2011-11-03,0.07
"302","R2","S1","HH","floresta_inundavel",2011-11-03,0.48
"303","R2","S1","HH","floresta_inundavel",2011-11-03,0.1
"304","R2","S1","HH","floresta_inundavel",2011-11-03,0.84
"305","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"306","R2","S1","HH","floresta_inundavel",2011-11-03,0.24
"307","R2","S1","HH","floresta_inundavel",2011-11-03,0.32
"308","R2","S1","HH","floresta_inundavel",2011-11-03,0.11
"309","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"310","R2","S1","HH","floresta_inundavel",2011-11-03,0.07
"311","R2","S1","HH","floresta_inundavel",2011-11-03,0.12
"312","R2","S1","HH","floresta_inundavel",2011-11-03,0.33
"313","R2","S1","HH","floresta_inundavel",2011-11-03,0.35
"314","R2","S1","HH","floresta_inundavel",2011-11-03,1.06
"315","R2","S1","HH","floresta_inundavel",2011-11-03,0.11
"316","R2","S1","HH","floresta_inundavel",2011-11-03,0.12
"317","R2","S1","HH","floresta_inundavel",2011-11-03,0.17
"318","R2","S1","HH","floresta_inundavel",2011-11-03,0.07
"319","R2","S1","HH","floresta_inundavel",2011-11-03,0.38
"320","R2","S1","HH","floresta_inundavel",2011-11-03,0.21
"321","R2","S1","HH","floresta_inundavel",2011-11-03,0.17
"322","R2","S1","HH","floresta_inundavel",2011-11-03,0.27
"323","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"324","R2","S1","HH","floresta_inundavel",2011-11-03,0.79
"325","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"326","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"327","R2","S1","HH","floresta_inundavel",2011-11-03,0.13
"328","R2","S1","HH","floresta_inundavel",2011-11-03,0.53
"329","R2","S1","HH","floresta_inundavel",2011-11-03,0.74
"330","R2","S1","HH","floresta_inundavel",2011-11-03,0.03
"331","R2","S1","HH","floresta_inundavel",2011-11-03,0.57
"332","R2","S1","HH","floresta_inundavel",2011-11-03,0.39
"333","R2","S1","HH","floresta_inundavel",2011-11-03,0.25
"334","R2","S1","HH","floresta_inundavel",2011-11-03,0.18
"335","R2","S1","HH","floresta_inundavel",2011-11-03,0.1
"336","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"337","R2","S1","HH","floresta_inundavel",2011-11-03,0.24
"338","R2","S1","HH","floresta_inundavel",2011-11-03,0.07
"339","R2","S1","HH","floresta_inundavel",2011-11-03,0.13
"340","R2","S1","HH","floresta_inundavel",2011-11-03,0.38
"341","R2","S1","HH","floresta_inundavel",2011-11-03,0.05
"342","R2","S1","HH","floresta_inundavel",2011-11-03,0.1
"343","R2","S1","HH","floresta_inundavel",2011-11-03,0.29
"344","R2","S1","HH","floresta_inundavel",2011-11-03,0.13
"345","R2","S1","HH","floresta_inundavel",2011-11-03,0.11
"346","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"347","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"348","R2","S1","HH","floresta_inundavel",2011-11-03,0.37
"349","R2","S1","HH","floresta_inundavel",2011-11-03,0.09
"350","R2","S1","HH","floresta_inundavel",2011-11-03,0.19
"351","R2","S1","HH","floresta_inundavel",2011-11-03,0.29
"352","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"353","R2","S1","HH","floresta_inundavel",2011-11-03,0.15
"354","R2","S1","HH","floresta_inundavel",2011-11-03,0.29
"355","R2","S1","HH","floresta_inundavel",2011-11-03,0.46
"356","R2","S1","HH","floresta_inundavel",2011-11-03,0.3
"357","R2","S1","HH","floresta_inundavel",2011-11-03,0.15
"358","R2","S1","HH","floresta_inundavel",2011-11-03,0.25
"359","R2","S1","HH","floresta_inundavel",2011-11-03,0.07
"360","R2","S1","HH","floresta_inundavel",2011-11-03,0.15
"361","R2","S1","HH","floresta_inundavel",2011-11-03,0.29
"362","R2","S1","HH","floresta_inundavel",2011-11-03,0.48
"363","R2","S1","HH","floresta_inundavel",2011-11-03,0.42
"364","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"365","R2","S1","HH","floresta_inundavel",2011-11-03,0.12
"366","R2","S1","HH","floresta_inundavel",2011-11-03,0.49
"367","R2","S1","HH","floresta_inundavel",2011-11-03,0.19
"368","R2","S1","HH","floresta_inundavel",2011-11-03,0.29
"369","R2","S1","HH","floresta_inundavel",2011-11-03,0.2
"370","R2","S1","HH","floresta_inundavel",2011-11-03,0.21
"371","R2","S1","HH","floresta_inundavel",2011-11-03,0.4
"372","R2","S1","HH","floresta_inundavel",2011-11-03,0.39
"373","R2","S1","HH","floresta_inundavel",2011-11-03,0.21
"374","R2","S1","HH","floresta_inundavel",2011-11-03,0.57
"375","R2","S1","HH","floresta_inundavel",2011-11-03,0.38
"376","R2","S1","HH","floresta_inundavel",2011-11-03,0.12
"377","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"378","R2","S1","HH","floresta_inundavel",2011-11-03,0.73
"379","R2","S1","HH","floresta_inundavel",2011-11-03,0.32
"380","R2","S1","HH","floresta_inundavel",2011-11-03,0.33
"381","R2","S1","HH","floresta_inundavel",2011-11-03,0.12
"382","R2","S1","HH","floresta_inundavel",2011-11-03,0.24
"383","R2","S1","HH","floresta_inundavel",2011-11-03,0.13
"384","R2","S1","HH","floresta_inundavel",2011-11-03,0.28
"385","R2","S1","HH","floresta_inundavel",2011-11-03,0.09
"386","R2","S1","HH","floresta_inundavel",2011-11-03,0.38
"387","R2","S1","HH","floresta_inundavel",2011-11-03,0.24
"388","R2","S1","HH","floresta_inundavel",2011-11-03,0.37
"389","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"390","R2","S1","HH","floresta_inundavel",2011-11-03,0.12
"391","R2","S1","HH","floresta_inundavel",2011-11-03,0.23
"392","R2","S1","HH","floresta_inundavel",2011-11-03,0.33
"393","R2","S1","HH","floresta_inundavel",2011-11-03,0.42
"394","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"395","R2","S1","HH","floresta_inundavel",2011-11-03,0.22
"396","R2","S1","HH","floresta_inundavel",2011-11-03,0.22
"397","R2","S1","HH","floresta_inundavel",2011-11-03,0.18
"398","R2","S1","HH","floresta_inundavel",2011-11-03,0.5
"399","R2","S1","HH","floresta_inundavel",2011-11-03,0.08
"400","R2","S1","HH","floresta_inundavel",2011-11-03,0.15
"401","R2","S1","HH","floresta_terrafirme",2011-07-06,0.17
"402","R2","S1","HH","floresta_terrafirme",2011-07-06,0.41
"403","R2","S1","HH","floresta_terrafirme",2011-07-06,0.49
"404","R2","S1","HH","floresta_terrafirme",2011-07-06,0.25
"405","R2","S1","HH","floresta_terrafirme",2011-07-06,0.3
"406","R2","S1","HH","floresta_terrafirme",2011-07-06,0.16
"407","R2","S1","HH","floresta_terrafirme",2011-07-06,0.43
"408","R2","S1","HH","floresta_terrafirme",2011-07-06,0.3
"409","R2","S1","HH","floresta_terrafirme",2011-07-06,0.34
"410","R2","S1","HH","floresta_terrafirme",2011-07-06,0.29
"411","R2","S1","HH","floresta_terrafirme",2011-07-06,0.2
"412","R2","S1","HH","floresta_terrafirme",2011-07-06,0.15
"413","R2","S1","HH","floresta_terrafirme",2011-07-06,0.13
"414","R2","S1","HH","floresta_terrafirme",2011-07-06,0.22
"415","R2","S1","HH","floresta_terrafirme",2011-07-06,0.23
"416","R2","S1","HH","floresta_terrafirme",2011-07-06,0.18
"417","R2","S1","HH","floresta_terrafirme",2011-07-06,0.7
"418","R2","S1","HH","floresta_terrafirme",2011-07-06,0.23
"419","R2","S1","HH","floresta_terrafirme",2011-07-06,0.37
"420","R2","S1","HH","floresta_terrafirme",2011-07-06,0.08
"421","R2","S1","HH","floresta_terrafirme",2011-07-06,0.22
"422","R2","S1","HH","floresta_terrafirme",2011-07-06,0.08
"423","R2","S1","HH","floresta_terrafirme",2011-07-06,0.15
"424","R2","S1","HH","floresta_terrafirme",2011-07-06,0.31
"425","R2","S1","HH","floresta_terrafirme",2011-07-06,0.19
"426","R2","S1","HH","floresta_terrafirme",2011-07-06,0.11
"427","R2","S1","HH","floresta_terrafirme",2011-07-06,0.13
"428","R2","S1","HH","floresta_terrafirme",2011-07-06,0.12
"429","R2","S1","HH","floresta_terrafirme",2011-07-06,0.2
"430","R2","S1","HH","floresta_terrafirme",2011-07-06,0.05
"431","R2","S1","HH","floresta_terrafirme",2011-07-06,0.23
"432","R2","S1","HH","floresta_terrafirme",2011-07-06,0.16
"433","R2","S1","HH","floresta_terrafirme",2011-07-06,0.11
"434","R2","S1","HH","floresta_terrafirme",2011-07-06,0.97
"435","R2","S1","HH","floresta_terrafirme",2011-07-06,0.22
"436","R2","S1","HH","floresta_terrafirme",2011-07-06,0.21
"437","R2","S1","HH","floresta_terrafirme",2011-07-06,0.16
"438","R2","S1","HH","floresta_terrafirme",2011-07-06,0.08
"439","R2","S1","HH","floresta_terrafirme",2011-07-06,0.15
"440","R2","S1","HH","floresta_terrafirme",2011-07-06,0.17
"441","R2","S1","HH","floresta_terrafirme",2011-07-06,0.34
"442","R2","S1","HH","floresta_terrafirme",2011-07-06,0.37
"443","R2","S1","HH","floresta_terrafirme",2011-07-06,0.04
"444","R2","S1","HH","floresta_terrafirme",2011-07-06,0.41
"445","R2","S1","HH","floresta_terrafirme",2011-07-06,0.23
"446","R2","S1","HH","floresta_terrafirme",2011-07-06,0.04
"447","R2","S1","HH","floresta_terrafirme",2011-07-06,0.26
"448","R2","S1","HH","floresta_terrafirme",2011-07-06,0.09
"449","R2","S1","HH","floresta_terrafirme",2011-07-06,0.28
"450","R2","S1","HH","floresta_terrafirme",2011-07-06,0.26
"451","R2","S1","HH","floresta_terrafirme",2011-07-06,0.19
"452","R2","S1","HH","floresta_terrafirme",2011-07-06,0.35
"453","R2","S1","HH","floresta_terrafirme",2011-07-06,0.19
"454","R2","S1","HH","floresta_terrafirme",2011-07-06,0.28
"455","R2","S1","HH","floresta_terrafirme",2011-07-06,0.38
"456","R2","S1","HH","floresta_terrafirme",2011-07-06,0.38
"457","R2","S1","HH","floresta_terrafirme",2011-07-06,0.4
"458","R2","S1","HH","floresta_terrafirme",2011-07-06,0.18
"459","R2","S1","HH","floresta_terrafirme",2011-07-06,0.13
"460","R2","S1","HH","floresta_terrafirme",2011-07-06,0.25
"461","R2","S1","HH","floresta_terrafirme",2011-07-06,0.44
"462","R2","S1","HH","floresta_terrafirme",2011-07-06,0.18
"463","R2","S1","HH","floresta_terrafirme",2011-07-06,0.24
"464","R2","S1","HH","floresta_terrafirme",2011-07-06,0.18
"465","R2","S1","HH","floresta_terrafirme",2011-07-06,0.35
"466","R2","S1","HH","floresta_terrafirme",2011-07-06,0.13
"467","R2","S1","HH","floresta_terrafirme",2011-07-06,0.12
"468","R2","S1","HH","floresta_terrafirme",2011-07-06,0.08
"469","R2","S1","HH","floresta_terrafirme",2011-07-06,0.19
"470","R2","S1","HH","floresta_terrafirme",2011-07-06,0.43
"471","R2","S1","HH","floresta_terrafirme",2011-07-06,0.17
